x,y,class
-0.6791976662349717,0.4551616580943613,B
-0.8695136945018613,0.3648782910016782,B
-0.2680389058034711,-0.4545702267116466,A
0.6853604937102379,0.4746211958851736,A
0.9358943622446685,-0.9293049727254752,A
0.6907059297745811,0.9054616787926733,B
0.40982773498774205,-0.7770643899518976,A
0.91314899522858,0.031787591145692656,A
-0.1731844215838367,-0.5136479575192033,A
-0.20403729269819407,0.7456596412217784,B
-0.9418038439442903,-0.3826216267684713,B
0.10665537034464746,0.47419477415754785,B
0.6674932730757902,-0.5872523902487214,A
-0.8684306778872688,0.8692004911501728,B
-0.5283175491577391,0.9414889593284729,B
-0.739408869361689,0.5194821552432884,B
0.3221006875269,-0.817119054744004,A
0.29862712965275334,-0.7832547234734589,A
0.3703289482733685,-0.3246043745482662,A
0.4000612114062565,0.8618519385239298,A
0.39039692685963495,-0.44502689440062837,A
0.7200787125583518,-0.9345404667598441,A
0.9330695026504513,0.06115652835880914,A
0.8239648044448986,0.2536716520819072,A
0.6987118062965609,-0.960361891221453,A
0.4137677103022323,-0.13414066471201105,A
0.8838408364051942,-0.5939832472242673,A
0.15230213596127912,0.009008868521002413,A
0.005033800969721747,-0.6367489464729253,A
-0.18582892164246453,0.6521603783792996,B
-0.08519289013624323,-0.7949994597684583,A
0.5650330739410011,0.9530728148465332,B
0.0365234158053974,0.47562160533522935,B
0.682203898576297,-0.5943903037920913,A
0.39716086186727234,0.9980853408573384,B
-0.5240043579020567,0.9976602032915033,B
0.024395288068740535,-0.5553101064062377,A
0.6335888680548454,0.4958502029269928,A
0.79000285119503455,-0.549404546627719,A
0.2595226764263095,-0.9736618926538921,A
0.43936294250605074,-0.9577291155600518,A
-0.38801426669092354,0.07723100579152116,B
-0.7533140409282835,0.309047241253304,B
-0.055081202633813914,0.7361542321840691,B
-0.7018801132745897,0.8342871034174951,B
0.838499830698713,-0.6693990731359872,A
0.975803617445962,-0.9774752071397118,A
0.598859678513773,0.11269215273596488,B
-0.897688228882305,0.5796134084325587,B
-0.42538946271110717,-0.9796657510662118,A
-0.42501444499214086,0.1719388545397411,B
0.6214644485823131,0.9821390474667439,B
-0.7786769149220834,0.6101919302341627,B
-0.5090765361910107,0.83575577357413,B
-0.5784124447631893,0.9417112882349071,B
-0.737248852924401,-0.30756953178139523,B
0.7676062990704838,-0.7593148795384403,A
-0.13884467089863847,-0.46705473305278783,A
0.6736068502714958,0.9142802400672636,B
-0.012678102271790356,0.5956232500510843,B
-0.8146966761966906,-0.30479727738102014,B
0.09199616860913526,-0.5870552891945713,A
-0.8783612877110862,-0.9635253497062558,A
0.9750202323263287,-0.6459032409816748,A
-0.9134279875686724,-0.2548623063458833,B
0.21391584725354787,0.8922050662236872,B
-0.9041460513292078,0.39971328658394245,B
0.8209874832360047,0.8827692271448901,B
0.016950564566002125,-0.5992578953516305,A
-0.6659701053569551,0.036642094133135836,B
0.6434222875752686,-0.5978370315750082,A
-0.606426293954413,-0.5598193595328368,B
0.2326173097658021,-0.9032103309891221,A
0.8838891781818916,0.631157872781917,B
0.9838537274147267,0.42182478244985655,A
0.6353279026714158,-0.15496811436192015,A
0.7825675504763887,0.4999844482127933,A
0.24658056495800068,-0.14656401729305196,A
-0.7835696187593455,0.7101190510898864,B
0.5877622338474761,-0.26223530842480197,A
-0.9156951682952,-0.8957966397499612,A
0.2860272966924686,0.40738484047409934,B
-0.7030771624683678,-0.8128236767879902,A
-0.9097703075649689,0.9708391823530338,B
-0.846663624835904,0.8647178053553871,B
-0.28864455898018065,0.9451009320627831,B
-0.819861563064547,0.11596265400854579,B
-0.42723513807403307,0.5166098646394283,B
-0.22638041974099016,0.023871382702464035,B
0.08601123083907453,-0.5758491135616504,A
0.08030788110299883,-0.9731703105813795,A
0.7949770143537562,0.8799577949439183,B
0.4667103907533117,0.8626946993334919,A
0.4302323249772691,-0.7924510782321165,A
-0.4683067681251259,-0.8602706465863608,A
-0.4253515493159656,0.9491029649897108,B
0.6972028727287081,-0.4143972777770113,A
-0.32731334451410676,-0.5880032505136499,A
-0.9809091180464633,0.8062113447863483,B
0.06076384447855051,-0.6025136159220018,A
-0.9329518470479408,0.5337601100873335,B
